"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
0.000,422.97,0.000,547.94,0.000,727.39,0.000,1038.21,0.000,1480.41,0.000,2361.60,0.000,3249.21,0.000,3505.55,0.000,3572.85,0.000,3345.34,0.000,2778.17,0.000,2307.13,0.000,2361.60,0.000,1839.29,0.000,1435.55,0.000,942.08,0.000,563.96,0.000,384.52,0.000,243.53,0.000,153.81,0.000,102.54,0.000,51.27,0.000,32.04
0.050,422.97,0.050,557.56,0.050,724.18,0.050,1031.80,0.050,1480.41,0.050,2358.40,0.050,3249.21,0.050,3505.55,0.050,3576.05,0.050,3322.91,0.050,2781.37,0.050,2307.13,0.050,2358.40,0.050,1858.52,0.050,1435.55,0.050,942.08,0.050,563.96,0.050,381.32,0.050,243.53,0.050,153.81,0.050,102.54,0.050,54.47,0.050,32.04
0.100,422.97,0.100,551.15,0.100,724.18,0.100,1031.80,0.100,1493.23,0.100,2358.40,0.100,3249.21,0.100,3502.35,0.100,3576.05,0.100,3358.15,0.100,2781.37,0.100,2297.52,0.100,2358.40,0.100,1839.29,0.100,1435.55,0.100,942.08,0.100,563.96,0.100,384.52,0.100,243.53,0.100,147.40,0.100,102.54,0.100,51.27,0.100,32.04
0.150,429.38,0.150,544.74,0.150,737.00,0.150,1038.21,0.150,1480.41,0.150,2358.40,0.150,3249.21,0.150,3486.33,0.150,3572.85,0.150,3364.56,0.150,2742.92,0.150,2278.29,0.150,2377.62,0.150,1839.29,0.150,1435.55,0.150,942.08,0.150,563.96,0.150,384.52,0.150,243.53,0.150,153.81,0.150,102.54,0.150,51.27,0.150,32.04
0.200,429.38,0.200,544.74,0.200,730.59,0.200,1044.62,0.200,1480.41,0.200,2364.81,0.200,3249.21,0.200,3502.35,0.200,3560.03,0.200,3364.56,0.200,2774.96,0.200,2300.72,0.200,2371.22,0.200,1839.29,0.200,1435.55,0.200,942.08,0.200,563.96,0.200,384.52,0.200,243.53,0.200,153.81,0.200,102.54,0.200,51.27,0.200,32.04
0.250,422.97,0.250,551.15,0.250,724.18,0.250,1031.80,0.250,1480.41,0.250,2358.40,0.250,3249.21,0.250,3505.55,0.250,3576.05,0.250,3319.70,0.250,2781.37,0.250,2307.13,0.250,2358.40,0.250,1852.11,0.250,1435.55,0.250,942.08,0.250,563.96,0.250,384.52,0.250,243.53,0.250,153.81,0.250,102.54,0.250,57.68,0.250,32.04
0.300,422.97,0.300,551.15,0.300,724.18,0.300,1031.80,0.300,1490.02,0.300,2358.40,0.300,3249.21,0.300,3505.55,0.300,3576.05,0.300,3351.75,0.300,2787.78,0.300,2310.33,0.300,2358.40,0.300,1845.70,0.300,1429.14,0.300,942.08,0.300,563.96,0.300,384.52,0.300,243.53,0.300,150.60,0.300,102.54,0.300,54.47,0.300,32.04
0.350,426.18,0.350,544.74,0.350,737.00,0.350,1031.80,0.350,1483.61,0.350,2358.40,0.350,3246.00,0.350,3470.31,0.350,3576.05,0.350,3364.56,0.350,2758.94,0.350,2281.49,0.350,2358.40,0.350,1839.29,0.350,1441.96,0.350,942.08,0.350,563.96,0.350,384.52,0.350,243.53,0.350,150.60,0.350,102.54,0.350,51.27,0.350,32.04
0.400,429.38,0.400,544.74,0.400,730.59,0.400,1044.62,0.400,1480.41,0.400,2377.62,0.400,3249.21,0.400,3499.15,0.400,3544.01,0.400,3364.56,0.400,2771.76,0.400,2284.70,0.400,2384.03,0.400,1839.29,0.400,1435.55,0.400,942.08,0.400,563.96,0.400,384.52,0.400,243.53,0.400,153.81,0.400,102.54,0.400,51.27,0.400,32.04
0.450,422.97,0.450,551.15,0.450,724.18,0.450,1035.00,0.450,1480.41,0.450,2358.40,0.450,3249.21,0.450,3505.55,0.450,3576.05,0.450,3335.72,0.450,2787.78,0.450,2307.13,0.450,2358.40,0.450,1839.29,0.450,1435.55,0.450,942.08,0.450,563.96,0.450,384.52,0.450,243.53,0.450,153.81,0.450,102.54,0.450,54.47,0.450,32.04
