"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
0.650,435.79,0.650,563.96,0.650,762.63,0.650,1063.84,0.650,1576.54,0.650,2444.92,0.650,3431.85,0.650,3665.77,0.650,3755.49,0.650,3524.78,0.650,2922.36,0.650,2557.07,0.650,2384.03,0.650,1845.70,0.650,1448.36,0.650,954.90,0.650,551.15,0.650,378.11,0.650,237.12,0.650,147.40,0.650,102.54,0.650,51.27,0.650,32.04
0.700,435.79,0.700,570.37,0.700,759.43,0.700,1070.25,0.700,1582.95,0.700,2438.51,0.700,3406.22,0.700,3675.38,0.700,3777.92,0.700,3524.78,0.700,2922.36,0.700,2557.07,0.700,2384.03,0.700,1858.52,0.700,1454.77,0.700,948.49,0.700,557.56,0.700,378.11,0.700,243.53,0.700,150.60,0.700,102.54,0.700,51.27,0.700,32.04
0.750,435.79,0.750,570.37,0.750,749.82,0.750,1067.05,0.750,1563.72,0.750,2457.73,0.750,3403.02,0.750,3704.22,0.750,3787.54,0.750,3537.60,0.750,2922.36,0.750,2557.07,0.750,2384.03,0.750,1864.93,0.750,1457.98,0.750,948.49,0.750,557.56,0.750,378.11,0.750,240.33,0.750,147.40,0.750,102.54,0.750,51.27,0.750,32.04
0.800,432.59,0.800,570.37,0.800,762.63,0.800,1051.03,0.800,1557.31,0.800,2473.75,0.800,3435.06,0.800,3665.77,0.800,3758.70,0.800,3524.78,0.800,2922.36,0.800,2557.07,0.800,2384.03,0.800,1864.93,0.800,1461.18,0.800,954.90,0.800,557.56,0.800,384.52,0.800,237.12,0.800,147.40,0.800,102.54,0.800,51.27,0.800,32.04
0.850,435.79,0.850,563.96,0.850,762.63,0.850,1057.43,0.850,1573.33,0.850,2454.53,0.850,3451.08,0.850,3665.77,0.850,3755.49,0.850,3524.78,0.850,2922.36,0.850,2557.07,0.850,2390.44,0.850,1852.11,0.850,1457.98,0.850,954.90,0.850,551.15,0.850,384.52,0.850,237.12,0.850,147.40,0.850,102.54,0.850,51.27,0.850,32.04
0.900,435.79,0.900,563.96,0.900,762.63,0.900,1063.84,0.900,1582.95,0.900,2441.71,0.900,3409.42,0.900,3662.57,0.900,3755.49,0.900,3524.78,0.900,2922.36,0.900,2557.07,0.900,2384.03,0.900,1858.52,0.900,1451.57,0.900,954.90,0.900,557.56,0.900,378.11,0.900,243.53,0.900,147.40,0.900,102.54,0.900,51.27,0.900,32.04
0.950,435.79,0.950,570.37,0.950,753.02,0.950,1067.05,0.950,1566.93,0.950,2444.92,0.950,3403.02,0.950,3704.22,0.950,3800.35,0.950,3553.62,0.950,2922.36,0.950,2557.07,0.950,2384.03,0.950,1861.72,0.950,1454.77,0.950,942.08,0.950,557.56,0.950,378.11,0.950,243.53,0.950,153.81,0.950,102.54,0.950,51.27,0.950,32.04
1.000,435.79,1.000,570.37,1.000,756.23,1.000,1057.43,1.000,1557.31,1.000,2467.35,1.000,3415.83,1.000,3675.38,1.000,3765.11,1.000,3527.98,1.000,2922.36,1.000,2557.07,1.000,2384.03,1.000,1864.93,1.000,1457.98,1.000,954.90,1.000,557.56,1.000,378.11,1.000,237.12,1.000,147.40,1.000,102.54,1.000,51.27,1.000,32.04
1.050,435.79,1.050,563.96,1.050,762.63,1.050,1051.03,1.050,1563.72,1.050,2470.55,1.050,3447.88,1.050,3665.77,1.050,3755.49,1.050,3524.78,1.050,2922.36,1.050,2557.07,1.050,2384.03,1.050,1864.93,1.050,1461.18,1.050,954.90,1.050,551.15,1.050,384.52,1.050,237.12,1.050,147.40,1.050,102.54,1.050,51.27,1.050,32.04
1.100,435.79,1.100,563.96,1.100,762.63,1.100,1063.84,1.100,1579.74,1.100,2441.71,1.100,3422.24,1.100,3662.57,1.100,3755.49,1.100,3524.78,1.100,2922.36,1.100,2557.07,1.100,2384.03,1.100,1848.91,1.100,1448.36,1.100,954.90,1.100,554.35,1.100,378.11,1.100,237.12,1.100,147.40,1.100,102.54,1.100,51.27,1.100,32.04
