"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.500,320.43,0.500,349.27,0.500,249.94,0.500,166.63,0.500,153.81,0.500,185.85,0.500,269.17,0.500,371.70,0.500,512.70,0.500,570.37,0.500,631.26,0.500,692.14,0.500,724.18,0.500,743.41,0.500,749.82,0.500,769.04,0.500,781.86,0.500,788.27,0.500,794.68,0.500,785.06,0.500,781.86,0.500,756.23,0.500,756.23,0.500,749.82,0.500,743.41,0.500,720.98,0.500,724.18,0.500,711.36,0.500,672.91,0.500,644.07,0.500,608.83,0.500,570.37,0.500,519.10,0.500,474.24,0.500,435.79
0.550,314.03,0.550,349.27,0.550,256.35,0.550,166.63,0.550,153.81,0.550,185.85,0.550,262.76,0.550,378.11,0.550,506.29,0.550,576.78,0.550,628.05,0.550,685.73,0.550,727.39,0.550,743.41,0.550,756.23,0.550,756.23,0.550,781.86,0.550,788.27,0.550,794.68,0.550,781.86,0.550,781.86,0.550,756.23,0.550,756.23,0.550,749.82,0.550,743.41,0.550,730.59,0.550,717.77,0.550,698.55,0.550,672.91,0.550,653.69,0.550,621.64,0.550,570.37,0.550,519.10,0.550,474.24,0.550,435.79
0.600,320.43,0.600,352.48,0.600,256.35,0.600,166.63,0.600,150.60,0.600,182.65,0.600,262.76,0.600,384.52,0.600,499.88,0.600,576.78,0.600,628.05,0.600,685.73,0.600,724.18,0.600,743.41,0.600,756.23,0.600,762.63,0.600,769.04,0.600,775.45,0.600,781.86,0.600,785.06,0.600,781.86,0.600,756.23,0.600,762.63,0.600,749.82,0.600,743.41,0.600,737.00,0.600,730.59,0.600,692.14,0.600,669.71,0.600,647.28,0.600,615.23,0.600,570.37,0.600,519.10,0.600,474.24,0.600,429.38
0.650,320.43,0.650,352.48,0.650,249.94,0.650,166.63,0.650,147.40,0.650,185.85,0.650,269.17,0.650,384.52,0.650,499.88,0.650,570.37,0.650,640.87,0.650,685.73,0.650,724.18,0.650,743.41,0.650,756.23,0.650,769.04,0.650,772.25,0.650,775.45,0.650,781.86,0.650,794.68,0.650,794.68,0.650,762.63,0.650,756.23,0.650,749.82,0.650,730.59,0.650,737.00,0.650,737.00,0.650,704.96,0.650,682.53,0.650,640.87,0.650,608.83,0.650,570.37,0.650,519.10,0.650,474.24,0.650,435.79
0.700,320.43,0.700,352.48,0.700,249.94,0.700,166.63,0.700,153.81,0.700,185.85,0.700,269.17,0.700,374.91,0.700,506.29,0.700,570.37,0.700,634.46,0.700,685.73,0.700,724.18,0.700,743.41,0.700,756.23,0.700,769.04,0.700,781.86,0.700,788.27,0.700,794.68,0.700,797.88,0.700,791.47,0.700,756.23,0.700,756.23,0.700,749.82,0.700,743.41,0.700,730.59,0.700,737.00,0.700,711.36,0.700,685.73,0.700,640.87,0.700,608.83,0.700,570.37,0.700,519.10,0.700,474.24,0.700,435.79
0.750,314.03,0.750,346.07,0.750,249.94,0.750,166.63,0.750,153.81,0.750,185.85,0.750,269.17,0.750,371.70,0.750,512.70,0.750,570.37,0.750,628.05,0.750,692.14,0.750,730.59,0.750,743.41,0.750,746.61,0.750,762.63,0.750,781.86,0.750,788.27,0.750,794.68,0.750,781.86,0.750,781.86,0.750,756.23,0.750,756.23,0.750,749.82,0.750,743.41,0.750,717.77,0.750,724.18,0.750,704.96,0.750,672.91,0.750,650.48,0.750,612.03,0.750,570.37,0.750,519.10,0.750,474.24,0.750,435.79
0.800,314.03,0.800,352.48,0.800,256.35,0.800,166.63,0.800,153.81,0.800,185.85,0.800,262.76,0.800,378.11,0.800,506.29,0.800,576.78,0.800,628.05,0.800,685.73,0.800,724.18,0.800,743.41,0.800,756.23,0.800,756.23,0.800,781.86,0.800,785.06,0.800,788.27,0.800,781.86,0.800,781.86,0.800,756.23,0.800,756.23,0.800,749.82,0.800,743.41,0.800,733.80,0.800,717.77,0.800,698.55,0.800,669.71,0.800,653.69,0.800,621.64,0.800,576.78,0.800,519.10,0.800,467.83,0.800,432.59
0.850,320.43,0.850,352.48,0.850,249.94,0.850,166.63,0.850,147.40,0.850,185.85,0.850,262.76,0.850,384.52,0.850,499.88,0.850,573.58,0.850,634.46,0.850,685.73,0.850,724.18,0.850,743.41,0.850,756.23,0.850,769.04,0.850,765.84,0.850,775.45,0.850,775.45,0.850,791.47,0.850,785.06,0.850,765.84,0.850,759.43,0.850,749.82,0.850,743.41,0.850,737.00,0.850,730.59,0.850,695.34,0.850,672.91,0.850,640.87,0.850,608.83,0.850,570.37,0.850,519.10,0.850,474.24,0.850,435.79
0.900,320.43,0.900,352.48,0.900,249.94,0.900,166.63,0.900,153.81,0.900,185.85,0.900,269.17,0.900,378.11,0.900,499.88,0.900,570.37,0.900,640.87,0.900,685.73,0.900,724.18,0.900,743.41,0.900,756.23,0.900,769.04,0.900,775.45,0.900,781.86,0.900,788.27,0.900,797.88,0.900,794.68,0.900,759.43,0.900,756.23,0.900,749.82,0.900,733.80,0.900,737.00,0.900,737.00,0.900,711.36,0.900,685.73,0.900,640.87,0.900,608.83,0.900,570.37,0.900,519.10,0.900,474.24,0.900,435.79
0.950,320.43,0.950,352.48,0.950,249.94,0.950,166.63,0.950,153.81,0.950,185.85,0.950,269.17,0.950,371.70,0.950,512.70,0.950,570.37,0.950,634.46,0.950,685.73,0.950,724.18,0.950,743.41,0.950,756.23,0.950,769.04,0.950,781.86,0.950,788.27,0.950,794.68,0.950,781.86,0.950,788.27,0.950,756.23,0.950,756.23,0.950,749.82,0.950,743.41,0.950,724.18,0.950,733.80,0.950,711.36,0.950,682.53,0.950,640.87,0.950,608.83,0.950,570.37,0.950,519.10,0.950,474.24,0.950,435.79
