"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
0.600,512.70,0.600,1041.41,0.600,1294.56,0.600,1300.96,0.600,1262.51,0.600,1211.24,0.600,1179.20,0.600,1159.97,0.600,1127.93,0.600,1063.84,0.600,1031.80,0.600,980.53,0.600,897.22,0.600,877.99,0.600,813.90,0.600,788.27,0.600,743.41,0.600,660.10,0.600,583.19,0.600,471.04,0.600,416.56,0.600,365.30,0.600,317.23,0.600,237.12,0.600,166.63
0.650,519.10,0.650,1038.21,0.650,1294.56,0.650,1300.96,0.650,1262.51,0.650,1211.24,0.650,1182.40,0.650,1134.34,0.650,1127.93,0.650,1070.25,0.650,1031.80,0.650,980.53,0.650,922.85,0.650,852.36,0.650,826.72,0.650,769.04,0.650,743.41,0.650,640.87,0.650,583.19,0.650,487.06,0.650,406.95,0.650,365.30,0.650,320.43,0.650,230.71,0.650,166.63
0.700,512.70,0.700,1038.21,0.700,1294.56,0.700,1300.96,0.700,1262.51,0.700,1211.24,0.700,1182.40,0.700,1153.56,0.700,1105.50,0.700,1076.66,0.700,1031.80,0.700,980.53,0.700,929.26,0.700,871.58,0.700,833.13,0.700,769.04,0.700,733.80,0.700,637.66,0.700,579.99,0.700,487.06,0.700,403.75,0.700,358.89,0.700,320.43,0.700,230.71,0.700,173.03
0.750,512.70,0.750,1038.21,0.750,1294.56,0.750,1300.96,0.750,1262.51,0.750,1211.24,0.750,1179.20,0.750,1159.97,0.750,1127.93,0.750,1076.66,0.750,1012.57,0.750,954.90,0.750,929.26,0.750,877.99,0.750,839.54,0.750,788.27,0.750,720.98,0.750,656.89,0.750,563.96,0.750,474.24,0.750,410.16,0.750,352.48,0.750,314.03,0.750,237.12,0.750,173.03
0.800,512.70,0.800,1057.43,0.800,1294.56,0.800,1300.96,0.800,1262.51,0.800,1211.24,0.800,1182.40,0.800,1159.97,0.800,1127.93,0.800,1076.66,0.800,1028.59,0.800,970.92,0.800,916.44,0.800,877.99,0.800,817.11,0.800,788.27,0.800,733.80,0.800,660.10,0.800,570.37,0.800,467.83,0.800,416.56,0.800,352.48,0.800,314.03,0.800,237.12,0.800,166.63
0.850,512.70,0.850,1038.21,0.850,1294.56,0.850,1300.96,0.850,1262.51,0.850,1211.24,0.850,1179.20,0.850,1159.97,0.850,1127.93,0.850,1057.43,0.850,1031.80,0.850,980.53,0.850,900.42,0.850,874.79,0.850,807.50,0.850,785.06,0.850,743.41,0.850,656.89,0.850,583.19,0.850,474.24,0.850,416.56,0.850,365.30,0.850,320.43,0.850,237.12,0.850,166.63
0.900,519.10,0.900,1038.21,0.900,1294.56,0.900,1300.96,0.900,1262.51,0.900,1211.24,0.900,1179.20,0.900,1134.34,0.900,1124.73,0.900,1073.46,0.900,1031.80,0.900,980.53,0.900,922.85,0.900,852.36,0.900,826.72,0.900,765.84,0.900,743.41,0.900,640.87,0.900,583.19,0.900,487.06,0.900,403.75,0.900,365.30,0.900,320.43,0.900,230.71,0.900,166.63
0.950,512.70,0.950,1038.21,0.950,1294.56,0.950,1300.96,0.950,1262.51,0.950,1211.24,0.950,1179.20,0.950,1153.56,0.950,1111.91,0.950,1076.66,0.950,1031.80,0.950,977.33,0.950,929.26,0.950,871.58,0.950,836.33,0.950,775.45,0.950,730.59,0.950,644.07,0.950,576.78,0.950,483.86,0.950,403.75,0.950,358.89,0.950,320.43,0.950,230.71,0.950,173.03
1.000,512.70,1.000,1038.21,1.000,1294.56,1.000,1300.96,1.000,1262.51,1.000,1211.24,1.000,1179.20,1.000,1159.97,1.000,1127.93,1.000,1076.66,1.000,1012.57,1.000,951.69,1.000,929.26,1.000,877.99,1.000,839.54,1.000,788.27,1.000,717.77,1.000,660.10,1.000,563.96,1.000,471.04,1.000,413.36,1.000,352.48,1.000,314.03,1.000,237.12,1.000,173.03
1.050,512.70,1.050,1054.23,1.050,1294.56,1.050,1300.96,1.050,1262.51,1.050,1211.24,1.050,1179.20,1.050,1159.97,1.050,1127.93,1.050,1076.66,1.050,1031.80,1.050,974.12,1.050,910.03,1.050,877.99,1.050,813.90,1.050,788.27,1.050,737.00,1.050,660.10,1.050,576.78,1.050,467.83,1.050,416.56,1.050,358.89,1.050,314.03,1.050,237.12,1.050,166.63
