"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
0.600,480.65,0.600,993.35,0.600,1224.06,0.600,1224.06,0.600,1198.43,0.600,1124.73,0.600,1121.52,0.600,1083.07,0.600,1057.43,0.600,1012.57,0.600,942.08,0.600,910.03,0.600,877.99,0.600,826.72,0.600,788.27,0.600,749.82,0.600,701.75,0.600,612.03,0.600,531.92,0.600,442.20,0.600,397.34,0.600,333.25,0.600,294.80,0.600,217.90,0.600,157.01
0.650,477.45,0.650,993.35,0.650,1224.06,0.650,1236.88,0.650,1198.43,0.650,1147.16,0.650,1105.50,0.650,1060.64,0.650,1070.25,0.650,1022.19,0.650,964.51,0.650,922.85,0.650,858.76,0.650,807.50,0.650,769.04,0.650,743.41,0.650,701.75,0.650,628.05,0.650,531.92,0.650,442.20,0.650,384.52,0.650,333.25,0.650,294.80,0.650,217.90,0.650,160.22
0.700,477.45,0.700,974.12,0.700,1198.43,0.700,1236.88,0.700,1172.79,0.700,1147.16,0.700,1083.07,0.700,1079.86,0.700,1076.66,0.700,1025.39,0.700,974.12,0.700,922.85,0.700,845.95,0.700,801.09,0.700,762.63,0.700,730.59,0.700,685.73,0.700,612.03,0.700,551.15,0.700,451.81,0.700,384.52,0.700,333.25,0.700,294.80,0.700,224.30,0.700,160.22
0.750,480.65,0.750,986.94,0.750,1217.65,0.750,1227.26,0.750,1175.99,0.750,1127.93,0.750,1108.70,0.750,1095.89,0.750,1051.03,0.750,993.35,0.750,967.71,0.750,897.22,0.750,852.36,0.750,801.09,0.750,762.63,0.750,724.18,0.750,679.32,0.750,605.62,0.750,547.94,0.750,455.02,0.750,384.52,0.750,342.86,0.750,301.21,0.750,217.90,0.750,160.22
0.800,480.65,0.800,993.35,0.800,1224.06,0.800,1198.43,0.800,1198.43,0.800,1108.70,0.800,1121.52,0.800,1095.89,0.800,1038.21,0.800,986.94,0.800,945.28,0.800,890.81,0.800,874.79,0.800,823.52,0.800,788.27,0.800,733.80,0.800,682.53,0.800,602.42,0.800,538.33,0.800,445.40,0.800,384.52,0.800,339.66,0.800,301.21,0.800,217.90,0.800,160.22
0.850,480.65,0.850,993.35,0.850,1224.06,0.850,1230.47,0.850,1198.43,0.850,1131.13,0.850,1121.52,0.850,1076.66,0.850,1063.84,0.850,1018.98,0.850,942.08,0.850,916.44,0.850,877.99,0.850,826.72,0.850,781.86,0.850,749.82,0.850,704.96,0.850,615.23,0.850,531.92,0.850,442.20,0.850,397.34,0.850,333.25,0.850,294.80,0.850,217.90,0.850,160.22
0.900,474.24,0.900,993.35,0.900,1224.06,0.900,1236.88,0.900,1198.43,0.900,1147.16,0.900,1095.89,0.900,1057.43,0.900,1070.25,0.900,1025.39,0.900,967.71,0.900,926.06,0.900,852.36,0.900,804.29,0.900,765.84,0.900,737.00,0.900,695.34,0.900,628.05,0.900,538.33,0.900,442.20,0.900,384.52,0.900,333.25,0.900,294.80,0.900,217.90,0.900,160.22
0.950,480.65,0.950,967.71,0.950,1198.43,0.950,1236.88,0.950,1166.38,0.950,1147.16,0.950,1083.07,0.950,1086.27,0.950,1076.66,0.950,1022.19,0.950,974.12,0.950,916.44,0.950,845.95,0.950,801.09,0.950,762.63,0.950,727.39,0.950,685.73,0.950,608.83,0.950,551.15,0.950,455.02,0.950,384.52,0.950,333.25,0.950,294.80,0.950,221.10,0.950,160.22
1.000,480.65,1.000,986.94,1.000,1220.86,1.000,1214.45,1.000,1185.61,1.000,1121.52,1.000,1111.91,1.000,1095.89,1.000,1044.62,1.000,990.14,1.000,958.10,1.000,897.22,1.000,858.76,1.000,801.09,1.000,772.25,1.000,724.18,1.000,679.32,1.000,602.42,1.000,544.74,1.000,451.81,1.000,384.52,1.000,346.07,1.000,304.41,1.000,217.90,1.000,160.22
1.050,480.65,1.050,993.35,1.050,1224.06,1.050,1204.83,1.050,1198.43,1.050,1108.70,1.050,1121.52,1.050,1095.89,1.050,1038.21,1.050,993.35,1.050,942.08,1.050,890.81,1.050,877.99,1.050,826.72,1.050,788.27,1.050,740.20,1.050,688.93,1.050,602.42,1.050,531.92,1.050,442.20,1.050,387.73,1.050,339.66,1.050,298.00,1.050,217.90,1.050,160.22
