"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
1.350,230.71,1.350,205.08,1.350,198.67,1.350,179.44,1.350,166.63,1.350,147.40,1.350,134.58,1.350,128.17,1.350,108.95,1.350,102.54,1.350,89.72,1.350,70.50,1.350,57.68
1.400,224.30,1.400,205.08,1.400,192.26,1.400,185.85,1.400,166.63,1.400,147.40,1.400,140.99,1.400,124.97,1.400,115.36,1.400,102.54,1.400,83.31,1.400,67.29,1.400,57.68
1.450,221.10,1.450,211.49,1.450,192.26,1.450,185.85,1.450,173.03,1.450,153.81,1.450,140.99,1.450,121.77,1.450,115.36,1.450,102.54,1.450,83.31,1.450,64.09,1.450,57.68
1.500,230.71,1.500,211.49,1.500,195.47,1.500,182.65,1.500,173.03,1.500,153.81,1.500,134.58,1.500,121.77,1.500,108.95,1.500,102.54,1.500,83.31,1.500,64.09,1.500,57.68
1.550,230.71,1.550,211.49,1.550,198.67,1.550,179.44,1.550,173.03,1.550,147.40,1.550,134.58,1.550,121.77,1.550,108.95,1.550,102.54,1.550,89.72,1.550,64.09,1.550,57.68
1.600,230.71,1.600,205.08,1.600,198.67,1.600,179.44,1.600,166.63,1.600,147.40,1.600,134.58,1.600,128.17,1.600,108.95,1.600,102.54,1.600,86.52,1.600,70.50,1.600,57.68
1.650,224.30,1.650,205.08,1.650,192.26,1.650,185.85,1.650,166.63,1.650,150.60,1.650,140.99,1.650,121.77,1.650,115.36,1.650,102.54,1.650,83.31,1.650,64.09,1.650,57.68
1.700,224.30,1.700,211.49,1.700,192.26,1.700,185.85,1.700,173.03,1.700,153.81,1.700,140.99,1.700,121.77,1.700,115.36,1.700,102.54,1.700,83.31,1.700,64.09,1.700,57.68
1.750,230.71,1.750,211.49,1.750,198.67,1.750,179.44,1.750,173.03,1.750,153.81,1.750,134.58,1.750,121.77,1.750,108.95,1.750,102.54,1.750,83.31,1.750,64.09,1.750,57.68
1.800,230.71,1.800,211.49,1.800,198.67,1.800,179.44,1.800,173.03,1.800,147.40,1.800,134.58,1.800,121.77,1.800,108.95,1.800,102.54,1.800,89.72,1.800,64.09,1.800,57.68
1.850,230.71,1.850,205.08,1.850,198.67,1.850,179.44,1.850,166.63,1.850,147.40,1.850,134.58,1.850,128.17,1.850,108.95,1.850,102.54,1.850,83.31,1.850,70.50,1.850,57.68
1.900,224.30,1.900,205.08,1.900,192.26,1.900,185.85,1.900,166.63,1.900,153.81,1.900,140.99,1.900,121.77,1.900,115.36,1.900,102.54,1.900,83.31,1.900,64.09,1.900,57.68
1.950,224.30,1.950,211.49,1.950,192.26,1.950,185.85,1.950,173.03,1.950,153.81,1.950,140.99,1.950,121.77,1.950,115.36,1.950,102.54,1.950,83.31,1.950,64.09,1.950,57.68
2.000,230.71,2.000,211.49,2.000,198.67,2.000,179.44,2.000,173.03,2.000,153.81,2.000,134.58,2.000,121.77,2.000,108.95,2.000,102.54,2.000,86.52,2.000,64.09,2.000,57.68
2.050,230.71,2.050,211.49,2.050,198.67,2.050,179.44,2.050,173.03,2.050,147.40,2.050,134.58,2.050,121.77,2.050,108.95,2.050,102.54,2.050,89.72,2.050,64.09,2.050,57.68
2.100,230.71,2.100,205.08,2.100,198.67,2.100,182.65,2.100,166.63,2.100,147.40,2.100,134.58,2.100,128.17,2.100,108.95,2.100,102.54,2.100,83.31,2.100,70.50,2.100,57.68
2.150,224.30,2.150,205.08,2.150,192.26,2.150,185.85,2.150,166.63,2.150,153.81,2.150,140.99,2.150,121.77,2.150,115.36,2.150,102.54,2.150,83.31,2.150,64.09,2.150,57.68
