"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.500,243.53,0.500,301.21,0.500,224.30,0.500,147.40,0.500,128.17,0.500,147.40,0.500,214.69,0.500,326.84,0.500,422.97,0.500,487.06,0.500,531.92,0.500,531.92,0.500,557.56,0.500,576.78,0.500,551.15,0.500,551.15,0.500,551.15,0.500,570.37,0.500,557.56,0.500,557.56,0.500,531.92,0.500,525.51,0.500,512.70,0.500,506.29,0.500,499.88,0.500,487.06,0.500,474.24,0.500,455.02,0.500,422.97,0.500,397.34,0.500,355.68,0.500,333.25,0.500,301.21,0.500,262.76,0.500,256.35
0.550,237.12,0.550,301.21,0.550,217.90,0.550,147.40,0.550,128.17,0.550,140.99,0.550,217.90,0.550,323.64,0.550,432.59,0.550,487.06,0.550,519.10,0.550,544.74,0.550,544.74,0.550,551.15,0.550,551.15,0.550,551.15,0.550,567.17,0.550,554.35,0.550,544.74,0.550,538.33,0.550,531.92,0.550,525.51,0.550,512.70,0.550,506.29,0.550,499.88,0.550,487.06,0.550,474.24,0.550,455.02,0.550,422.97,0.550,381.32,0.550,352.48,0.550,323.64,0.550,301.21,0.550,272.37,0.550,243.53
0.600,243.53,0.600,304.41,0.600,217.90,0.600,144.20,0.600,121.77,0.600,147.40,0.600,217.90,0.600,310.82,0.600,442.20,0.600,477.45,0.600,506.29,0.600,557.56,0.600,544.74,0.600,551.15,0.600,567.17,0.600,573.58,0.600,576.78,0.600,544.74,0.600,541.53,0.600,538.33,0.600,531.92,0.600,525.51,0.600,512.70,0.600,506.29,0.600,499.88,0.600,477.45,0.600,474.24,0.600,455.02,0.600,419.77,0.600,384.52,0.600,365.30,0.600,326.84,0.600,298.00,0.600,275.57,0.600,243.53
0.650,243.53,0.650,304.41,0.650,224.30,0.650,147.40,0.650,128.17,0.650,147.40,0.650,205.08,0.650,307.62,0.650,442.20,0.650,467.83,0.650,506.29,0.650,554.35,0.650,570.37,0.650,560.76,0.650,576.78,0.650,576.78,0.650,554.35,0.650,544.74,0.650,541.53,0.650,538.33,0.650,531.92,0.650,525.51,0.650,512.70,0.650,506.29,0.650,483.86,0.650,480.65,0.650,477.45,0.650,451.81,0.650,419.77,0.650,394.13,0.650,365.30,0.650,333.25,0.650,288.39,0.650,275.57,0.650,249.94
0.700,243.53,0.700,294.80,0.700,224.30,0.700,147.40,0.700,128.17,0.700,147.40,0.700,211.49,0.700,320.43,0.700,429.38,0.700,480.65,0.700,522.31,0.700,531.92,0.700,570.37,0.700,576.78,0.700,570.37,0.700,557.56,0.700,551.15,0.700,563.96,0.700,560.76,0.700,544.74,0.700,531.92,0.700,525.51,0.700,512.70,0.700,506.29,0.700,493.47,0.700,487.06,0.700,461.43,0.700,448.61,0.700,422.97,0.700,397.34,0.700,365.30,0.700,333.25,0.700,294.80,0.700,269.17,0.700,256.35
0.750,243.53,0.750,301.21,0.750,224.30,0.750,147.40,0.750,128.17,0.750,147.40,0.750,214.69,0.750,326.84,0.750,422.97,0.750,487.06,0.750,531.92,0.750,531.92,0.750,554.35,0.750,573.58,0.750,551.15,0.750,551.15,0.750,547.94,0.750,570.37,0.750,554.35,0.750,557.56,0.750,531.92,0.750,525.51,0.750,512.70,0.750,506.29,0.750,499.88,0.750,487.06,0.750,474.24,0.750,455.02,0.750,422.97,0.750,397.34,0.750,355.68,0.750,333.25,0.750,301.21,0.750,262.76,0.750,256.35
0.800,237.12,0.800,304.41,0.800,217.90,0.800,147.40,0.800,128.17,0.800,140.99,0.800,217.90,0.800,323.64,0.800,432.59,0.800,487.06,0.800,515.90,0.800,544.74,0.800,544.74,0.800,551.15,0.800,551.15,0.800,554.35,0.800,570.37,0.800,551.15,0.800,544.74,0.800,538.33,0.800,531.92,0.800,525.51,0.800,512.70,0.800,506.29,0.800,499.88,0.800,487.06,0.800,474.24,0.800,455.02,0.800,422.97,0.800,381.32,0.800,355.68,0.800,320.43,0.800,301.21,0.800,275.57,0.800,243.53
0.850,243.53,0.850,304.41,0.850,217.90,0.850,140.99,0.850,121.77,0.850,147.40,0.850,217.90,0.850,310.82,0.850,442.20,0.850,477.45,0.850,506.29,0.850,557.56,0.850,547.94,0.850,551.15,0.850,570.37,0.850,576.78,0.850,573.58,0.850,544.74,0.850,541.53,0.850,538.33,0.850,531.92,0.850,525.51,0.850,512.70,0.850,506.29,0.850,496.67,0.850,474.24,0.850,474.24,0.850,455.02,0.850,416.56,0.850,384.52,0.850,365.30,0.850,326.84,0.850,294.80,0.850,275.57,0.850,243.53
0.900,243.53,0.900,304.41,0.900,224.30,0.900,147.40,0.900,128.17,0.900,147.40,0.900,205.08,0.900,310.82,0.900,442.20,0.900,467.83,0.900,506.29,0.900,554.35,0.900,570.37,0.900,563.96,0.900,576.78,0.900,576.78,0.900,551.15,0.900,544.74,0.900,541.53,0.900,538.33,0.900,531.92,0.900,525.51,0.900,512.70,0.900,506.29,0.900,487.06,0.900,480.65,0.900,477.45,0.900,448.61,0.900,419.77,0.900,394.13,0.900,365.30,0.900,333.25,0.900,288.39,0.900,275.57,0.900,253.14
0.950,243.53,0.950,294.80,0.950,224.30,0.950,147.40,0.950,128.17,0.950,147.40,0.950,211.49,0.950,320.43,0.950,429.38,0.950,480.65,0.950,525.51,0.950,531.92,0.950,570.37,0.950,576.78,0.950,567.17,0.950,557.56,0.950,551.15,0.950,563.96,0.950,560.76,0.950,547.94,0.950,531.92,0.950,525.51,0.950,512.70,0.950,506.29,0.950,493.47,0.950,487.06,0.950,464.63,0.950,448.61,0.950,422.97,0.950,397.34,0.950,365.30,0.950,333.25,0.950,294.80,0.950,265.96,0.950,256.35
