"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
1.350,217.90,1.350,205.08,1.350,192.26,1.350,179.44,1.350,166.63,1.350,147.40,1.350,128.17,1.350,121.77,1.350,108.95,1.350,102.54,1.350,83.31,1.350,64.09,1.350,57.68
1.400,217.90,1.400,205.08,1.400,192.26,1.400,179.44,1.400,166.63,1.400,147.40,1.400,134.58,1.400,121.77,1.400,108.95,1.400,102.54,1.400,83.31,1.400,64.09,1.400,57.68
1.450,217.90,1.450,205.08,1.450,192.26,1.450,179.44,1.450,166.63,1.450,147.40,1.450,134.58,1.450,121.77,1.450,108.95,1.450,102.54,1.450,83.31,1.450,64.09,1.450,57.68
1.500,217.90,1.500,208.28,1.500,192.26,1.500,179.44,1.500,166.63,1.500,147.40,1.500,134.58,1.500,115.36,1.500,108.95,1.500,96.13,1.500,83.31,1.500,64.09,1.500,51.27
1.550,224.30,1.550,205.08,1.550,192.26,1.550,179.44,1.550,166.63,1.550,147.40,1.550,134.58,1.550,121.77,1.550,108.95,1.550,96.13,1.550,83.31,1.550,64.09,1.550,57.68
1.600,217.90,1.600,205.08,1.600,192.26,1.600,179.44,1.600,166.63,1.600,147.40,1.600,128.17,1.600,121.77,1.600,108.95,1.600,102.54,1.600,83.31,1.600,64.09,1.600,57.68
1.650,217.90,1.650,205.08,1.650,192.26,1.650,179.44,1.650,166.63,1.650,147.40,1.650,134.58,1.650,121.77,1.650,108.95,1.650,102.54,1.650,83.31,1.650,64.09,1.650,57.68
1.700,217.90,1.700,205.08,1.700,192.26,1.700,179.44,1.700,166.63,1.700,147.40,1.700,134.58,1.700,121.77,1.700,108.95,1.700,102.54,1.700,83.31,1.700,64.09,1.700,57.68
1.750,217.90,1.750,205.08,1.750,192.26,1.750,179.44,1.750,166.63,1.750,147.40,1.750,134.58,1.750,118.56,1.750,108.95,1.750,96.13,1.750,83.31,1.750,64.09,1.750,51.27
1.800,224.30,1.800,205.08,1.800,192.26,1.800,179.44,1.800,166.63,1.800,147.40,1.800,134.58,1.800,121.77,1.800,108.95,1.800,96.13,1.800,83.31,1.800,64.09,1.800,57.68
1.850,217.90,1.850,205.08,1.850,192.26,1.850,179.44,1.850,166.63,1.850,147.40,1.850,128.17,1.850,121.77,1.850,108.95,1.850,102.54,1.850,83.31,1.850,64.09,1.850,57.68
1.900,217.90,1.900,205.08,1.900,192.26,1.900,179.44,1.900,166.63,1.900,147.40,1.900,134.58,1.900,121.77,1.900,108.95,1.900,102.54,1.900,83.31,1.900,64.09,1.900,57.68
1.950,217.90,1.950,205.08,1.950,192.26,1.950,179.44,1.950,166.63,1.950,147.40,1.950,134.58,1.950,121.77,1.950,108.95,1.950,102.54,1.950,83.31,1.950,64.09,1.950,57.68
2.000,217.90,2.000,205.08,2.000,192.26,2.000,179.44,2.000,166.63,2.000,147.40,2.000,134.58,2.000,121.77,2.000,108.95,2.000,96.13,2.000,83.31,2.000,64.09,2.000,51.27
2.050,224.30,2.050,205.08,2.050,192.26,2.050,179.44,2.050,166.63,2.050,147.40,2.050,134.58,2.050,121.77,2.050,108.95,2.050,96.13,2.050,83.31,2.050,64.09,2.050,57.68
2.100,217.90,2.100,205.08,2.100,192.26,2.100,179.44,2.100,166.63,2.100,147.40,2.100,128.17,2.100,121.77,2.100,108.95,2.100,102.54,2.100,83.31,2.100,64.09,2.100,57.68
2.150,217.90,2.150,205.08,2.150,192.26,2.150,179.44,2.150,166.63,2.150,147.40,2.150,134.58,2.150,121.77,2.150,108.95,2.150,102.54,2.150,83.31,2.150,64.09,2.150,57.68
2.200,217.90,2.200,205.08,2.200,192.26,2.200,179.44,2.200,166.63,2.200,147.40,2.200,134.58,2.200,121.77,2.200,108.95,2.200,102.54,2.200,83.31,2.200,64.09,2.200,57.68
2.250,217.90,2.250,205.08,2.250,192.26,2.250,179.44,2.250,166.63,2.250,147.40,2.250,134.58,2.250,121.77,2.250,108.95,2.250,96.13,2.250,83.31,2.250,64.09,2.250,51.27
