"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25","Time (s) Run #26","Light Intensity (lx) Run #26","Time (s) Run #27","Light Intensity (lx) Run #27","Time (s) Run #28","Light Intensity (lx) Run #28","Time (s) Run #29","Light Intensity (lx) Run #29","Time (s) Run #30","Light Intensity (lx) Run #30","Time (s) Run #31","Light Intensity (lx) Run #31","Time (s) Run #32","Light Intensity (lx) Run #32","Time (s) Run #33","Light Intensity (lx) Run #33","Time (s) Run #34","Light Intensity (lx) Run #34","Time (s) Run #35","Light Intensity (lx) Run #35"
0.500,378.11,0.500,339.66,0.500,281.98,0.500,230.71,0.500,249.94,0.500,294.80,0.500,378.11,0.500,445.40,0.500,512.70,0.500,448.61,0.500,557.56,0.500,563.96,0.500,576.78,0.500,583.19,0.500,589.60,0.500,589.60,0.500,596.01,0.500,596.01,0.500,592.80,0.500,602.42,0.500,602.42,0.500,605.62,0.500,596.01,0.500,608.83,0.500,602.42,0.500,608.83,0.500,596.01,0.500,589.60,0.500,557.56,0.500,544.74,0.500,525.51,0.500,493.47,0.500,461.43,0.500,429.38,0.500,390.93
0.550,378.11,0.550,333.25,0.550,281.98,0.550,230.71,0.550,243.53,0.550,301.21,0.550,371.70,0.550,448.61,0.550,512.70,0.550,448.61,0.550,554.35,0.550,570.37,0.550,583.19,0.550,583.19,0.550,589.60,0.550,589.60,0.550,589.60,0.550,589.60,0.550,596.01,0.550,602.42,0.550,602.42,0.550,608.83,0.550,605.62,0.550,602.42,0.550,596.01,0.550,599.21,0.550,596.01,0.550,589.60,0.550,560.76,0.550,544.74,0.550,528.72,0.550,499.88,0.550,458.22,0.550,422.97,0.550,390.93
0.600,371.70,0.600,333.25,0.600,281.98,0.600,230.71,0.600,243.53,0.600,301.21,0.600,371.70,0.600,451.81,0.600,512.70,0.600,442.20,0.600,551.15,0.600,570.37,0.600,576.78,0.600,583.19,0.600,586.40,0.600,589.60,0.600,596.01,0.600,596.01,0.600,596.01,0.600,599.21,0.600,596.01,0.600,602.42,0.600,608.83,0.600,596.01,0.600,596.01,0.600,596.01,0.600,602.42,0.600,589.60,0.600,560.76,0.600,544.74,0.600,519.10,0.600,499.88,0.600,467.83,0.600,422.97,0.600,390.93
0.650,374.91,0.650,339.66,0.650,281.98,0.650,230.71,0.650,243.53,0.650,301.21,0.650,378.11,0.650,448.61,0.650,519.10,0.650,442.20,0.650,544.74,0.650,563.96,0.650,576.78,0.650,583.19,0.650,586.40,0.650,589.60,0.650,596.01,0.650,596.01,0.650,596.01,0.650,596.01,0.650,596.01,0.650,596.01,0.650,602.42,0.650,602.42,0.650,608.83,0.650,596.01,0.650,599.21,0.650,589.60,0.650,560.76,0.650,538.33,0.650,519.10,0.650,499.88,0.650,467.83,0.650,426.18,0.650,390.93
0.700,378.11,0.700,339.66,0.700,281.98,0.700,224.30,0.700,249.94,0.700,294.80,0.700,378.11,0.700,445.40,0.700,515.90,0.700,442.20,0.700,551.15,0.700,563.96,0.700,576.78,0.700,583.19,0.700,586.40,0.700,589.60,0.700,596.01,0.700,596.01,0.700,589.60,0.700,602.42,0.700,602.42,0.700,602.42,0.700,596.01,0.700,608.83,0.700,605.62,0.700,602.42,0.700,596.01,0.700,589.60,0.700,557.56,0.700,541.53,0.700,525.51,0.700,493.47,0.700,461.43,0.700,429.38,0.700,397.34
0.750,378.11,0.750,336.46,0.750,281.98,0.750,230.71,0.750,249.94,0.750,294.80,0.750,374.91,0.750,448.61,0.750,512.70,0.750,448.61,0.750,557.56,0.750,570.37,0.750,579.99,0.750,583.19,0.750,586.40,0.750,589.60,0.750,592.80,0.750,589.60,0.750,596.01,0.750,602.42,0.750,602.42,0.750,608.83,0.750,602.42,0.750,605.62,0.750,596.01,0.750,602.42,0.750,596.01,0.750,589.60,0.750,557.56,0.750,544.74,0.750,528.72,0.750,496.67,0.750,458.22,0.750,422.97,0.750,390.93
0.800,378.11,0.800,333.25,0.800,281.98,0.800,230.71,0.800,243.53,0.800,301.21,0.800,371.70,0.800,455.02,0.800,512.70,0.800,445.40,0.800,551.15,0.800,570.37,0.800,583.19,0.800,583.19,0.800,586.40,0.800,589.60,0.800,596.01,0.800,596.01,0.800,596.01,0.800,602.42,0.800,596.01,0.800,608.83,0.800,608.83,0.800,596.01,0.800,596.01,0.800,596.01,0.800,599.21,0.800,589.60,0.800,560.76,0.800,544.74,0.800,525.51,0.800,499.88,0.800,461.43,0.800,422.97,0.800,390.93
0.850,371.70,0.850,339.66,0.850,281.98,0.850,230.71,0.850,243.53,0.850,301.21,0.850,378.11,0.850,448.61,0.850,515.90,0.850,442.20,0.850,544.74,0.850,563.96,0.850,576.78,0.850,583.19,0.850,586.40,0.850,589.60,0.850,596.01,0.850,596.01,0.850,596.01,0.850,596.01,0.850,596.01,0.850,596.01,0.850,608.83,0.850,596.01,0.850,602.42,0.850,596.01,0.850,605.62,0.850,589.60,0.850,560.76,0.850,544.74,0.850,519.10,0.850,499.88,0.850,467.83,0.850,422.97,0.850,390.93
0.900,378.11,0.900,339.66,0.900,281.98,0.900,227.51,0.900,246.73,0.900,294.80,0.900,378.11,0.900,448.61,0.900,519.10,0.900,442.20,0.900,544.74,0.900,563.96,0.900,576.78,0.900,583.19,0.900,586.40,0.900,589.60,0.900,596.01,0.900,596.01,0.900,592.80,0.900,599.21,0.900,602.42,0.900,596.01,0.900,596.01,0.900,608.83,0.900,608.83,0.900,599.21,0.900,596.01,0.900,589.60,0.900,557.56,0.900,538.33,0.900,525.51,0.900,493.47,0.900,467.83,0.900,429.38,0.900,394.13
0.950,378.11,0.950,339.66,0.950,281.98,0.950,230.71,0.950,249.94,0.950,294.80,0.950,378.11,0.950,445.40,0.950,512.70,0.950,448.61,0.950,557.56,0.950,563.96,0.950,576.78,0.950,583.19,0.950,586.40,0.950,589.60,0.950,596.01,0.950,596.01,0.950,589.60,0.950,602.42,0.950,602.42,0.950,605.62,0.950,596.01,0.950,608.83,0.950,602.42,0.950,608.83,0.950,596.01,0.950,589.60,0.950,557.56,0.950,544.74,0.950,525.51,0.950,493.47,0.950,461.43,0.950,429.38,0.950,390.93
